Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
30,250,0.8,0.2,13.62,0,12.71,11.34,13.83,15.94,6.68%,-1.50%,13657,0.000992441,14271,0.00148272,11769,1.09513,13657,0.000934264,14271,0.00095942,11689,2.05021,13657,0.000944996,14271,0.0011779,11705,2.48816,
50,250,0.2,0.2,7884,0,7120,13.28,7987,19.47,9.69%,-1.31%,7885,0.00158169,8616,0.00223653,5892,2.77167,7885,0.00151993,8616,0.0015623,5881,3.45683,7885,0.00154713,8616,0.00152075,5814,4.48797,
50,250,0.8,0.2,16.61,0,15.61,12.81,16.27,17.54,6.04%,2.04%,16612,0.00145745,16441,0.0014477,14169,2.79094,16612,0.00148672,16441,0.00153136,14030,4.10128,16612,0.00182544,16441,0.00217979,14149,3.28923,
30,350,0.2,0.2,7549,0,6302,20.21,7461,32.37,16.52%,1.17%,7549,0.00147113,9891,0.0016162,5222,3.40041,7549,0.00148201,9891,0.00142825,4915,5.61986,7549,0.00143596,9891,0.00162674,5029,7.88732,
"
30",350,0.8,0.2,18743,0,17534,21.74,18927,31.27,6.45%,−0.98%,18744,0.0013742,20129,0.00161816,16034,6.89362,18744,0.00191114,20129,0.00184186,16086,9.59271,18744,0.00202911,20129,0.00228303,15951,8.25068,
50,350,0.2,0.2,9654,0,7983,22.87,9146,40.06,17.31%,5.26%,9734,0.00296061,11177,0.0024528,6441,6.92261,9734,0.00269397,11177,0.0022941,6479,16.4791,9734,0.00217256,11177,0.00227444,6364,12.2926,
50,350,0.8,0.2,21.08,0,19.52,23.1,20700,33.71,7.39%,1.80%,21079,0.00222497,21193,0.00255618,18044,5.65318,21079,0.00216816,21193,0.00228923,17869,11.6808,21079,0.00219586,21193,0.0023394,17933,9.80209,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A.11,,,,,,α = 0.2.,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,,
,,,,EDD,,ILS,,GRASP,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,
Workers,Jobs,T,R,Tmax,CPU time (m),Tmax,CPU time (m),Tmax,CPU time (m),ILS –EDD,GRASP - EDD,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,
30,50,0.2,0.2,7032.02,0,5979.02,0.69,6598.02,0.93,14.97%,6.17%,7030.77,0.000115024,7395.99,0.000106381,5701.69,0.0204159,7030.77,0.00008315,7395.99,0.000088317,5776.71,0.0340508,7030.77,0.000085545,7395.99,0.00008806,5722.64,0.0215315,
30,50,0.8,0.2,9561.91,0,8380.91,0.69,8898.43,0.93,12.35%,6.94%,9566.41,0.000085007,9020.89,0.00008759,8030.68,0.0168704,9566.41,0.000140131,9020.89,0.000131095,8042.34,0.0158023,9566.41,0.000132343,9020.89,0.000097654,8094.31,0.0271537,
50,50,0.2,0.2,10.500.82,0,8558.23,1.07,9747.82,1.37,18.50%,7.17%,10500.8,0.000416308,9881.75,0.000254767,8206.09,0.0280315,10500.8,0.000256316,9881.75,0.000254733,8121.52,0.0462787,10500.8,0.000172521,9881.75,0.000154316,8169.73,0.034343,
50,50,0.8,0.2,12.820.67,0,11.299.49,1.07,12.085.49,1.32,11.87%,5.73%,12866.8,0.000226369,12631.8,0.000166218,10574.6,0.0344997,12866.8,0.000198297,12631.8,0.000220158,10763.2,0.0475636,12866.8,0.000358001,12631.8,0.00019053,10728.1,0.0398574,
30,150,0.2,0.2,20.360.10,0,18.371.10,4.47,19.353.86,5.77,9.77%,4.94%,20451.7,0.000482231,20173.4,0.000524369,16958,0.179594,20451.7,0.000564136,20173.4,0.000556962,16669.1,0.368471,20451.7,0.000465072,20173.4,0.000475956,16551.3,0.544739,
30,150,0.8,0.2,25.316.34,0,23.565.34,4.5,24.736.24,5.76,6.92%,2.29%,25316.9,0.000494319,25668,0.00042749,21739.6,0.360446,25316.9,0.000481338,25668,0.000469088,21895,0.439372,25316.9,0.000523456,25668,0.000424093,21904,0.608291,
50,150,0.2,0.2,24.916.34,0,22.809.34,5.44,24.035.55,6.84,8.46%,3.53%,24923.7,0.00118767,25106.6,0.00183784,21419.4,0.533397,24923.7,0.000718378,25106.6,0.000795875,21314.2,1.21161,24923.7,0.000835311,25106.6,0.000758781,21191,0.767848,
50,150,0.8,0.2,29.576.76,0,28.389.76,5.56,29.233.62,6.79,4.01%,1.16%,29739.7,0.000743661,30110.8,0.000777182,26294.4,0.982538,29739.7,0.000754285,30110.8,0.000723494,26283.6,0.977194,29739.7,0.000874957,30110.8,0.000729482,26402.5,0.600629,
30,250,0.2,0.2,33.978.09,0,30.648.09,11.38,32.411.85,15.58,9.80%,4.61%,33982.4,0.000923803,32764.9,0.000915308,27058.8,1.43308,33982.4,0.000928764,32764.9,0.000958075,27301.6,1.59275,33982.4,0.000927847,32764.9,0.000923243,27067.8,2.69417,
30,250,0.8,0.2,40.810.14,0,38.500.14,11.91,40.453.00,24.06,5.66%,0.88%,40810.2,0.000945365,41827.4,0.0010071,36294.2,0.966807,40810.2,0.00114724,41827.4,0.00121799,35889.7,2.11936,40810.2,0.0014605,41827.4,0.00146453,35781.2,1.78544,
50,250,0.2,0.2,39.699.92,0,36.828.68,13.14,38.645.00,18.31,7.23%,2.66%,39723.7,0.00214124,39873,0.00168417,33894.2,2.59054,39723.7,0.00156291,39873,0.00198205,33264.1,8.73252,39723.7,0.00150517,39873,0.0020416,34032.8,3.75482,
50,250,0.8,0.2,49.072.39,0,45.500.39,12.94,47.272.73,18.27,7.28%,3.67%,49088.3,0.0014933,47621,0.00249604,42190.9,2.10544,49088.3,0.00150494,47621,0.00176454,41895.9,6.79284,49088.3,0.00158749,47621,0.00164183,41724.5,9.18017,
30,350,0.2,0.2,48.710.67,0,44.754.67,21.6,46.701.67,30.08,8.12%,4.12%,48730.4,0.00178119,49150.7,0.00180372,41934.9,6.29344,48730.4,0.00161305,49150.7,0.00200831,41062.1,11.7005,48730.4,0.00138533,49150.7,0.0013991,41165.8,4.93082,
30,350,0.8,0.2,59.345.81,0,57.091.81,21.71,58.610.81,30.51,3.80%,1.24%,59364.2,0.00144662,61387.2,0.00148906,53214,3.38965,59364.2,0.00145958,61387.2,0.00165035,52400.9,4.28866,59364.2,0.00183124,61387.2,0.00354154,52710.5,5.68727,
50,350,0.2,0.2,56.302.53,0,51.556.41,22.72,53.368.53,35.25,8.43%,5.21%,56398.5,0.00269325,55027.1,0.00242182,46928.2,7.21362,56398.5,0.00228616,55027.1,0.00287636,47100.2,7.74479,56398.5,0.00322148,55027.1,0.00259882,46561.8,13.6821,
50,350,0.8,0.2,65.839.50,0,63.297.50,24.09,64.421.95,35.25,3.86%,2.15%,65844.4,0.00211819,65270.8,0.00214602,58527,5.40336,65844.4,0.00226021,65270.8,0.00220367,58557,4.80696,65844.4,0.00212314,65270.8,0.00320182,58509.5,9.7141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A.12,,,,,,α = 0.8.,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,,
,,,,EDD,,ILS,,GRASP,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,
Workers,Jobs,T,R,Tmax,CPU time (m),Tmax,CPU time (m),Tmax,CPU time (m),ILS - EDD,GRASP - EDD,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,
30,50,0.2,0.2,83.150.05,0,71.136.87,0.68,77.925.05,0.97,14.45%,6.28%,83130.7,0.000172067,74386.3,0.000317399,66205.1,0.0214921,83130.7,0.000084354,74386.3,0.000088554,65408.5,0.0199685,83130.7,0.000094671,74386.3,0.000181184,65449.8,0.037013,
30,50,0.8,0.2,85.353.01,0,72.143.01,0.68,77.632.01,1.03,15.48%,9.05%,85342.3,0.00029224,77397.4,0.000204695,68937.8,0.0137529,85342.3,0.000080674,77397.4,0.000085409,68231.4,0.0440061,85342.3,0.000081172,77397.4,0.000086332,67771.1,0.0312366,
50,50,0.2,0.2,108.666.03,0,94.520.96,1.13,103.424.03,1.32,13.02%,4.82%,108666,0.000285118,100634,0.000261575,89699,0.0270134,108666,0.000166605,100634,0.00016452,90916.5,0.0420602,108666,0.000230256,100634,0.000178706,89301.3,0.0367016,
